Thermo Gas Analyzer Data
Time Stamp Local	Time Stamp UTC	NO	NO2	NOx	SO2	O3
8/21/2013 11:38:42 AM	8/21/2013 4:38:42 PM	0.744	6.702	7.446	2.319	35.424
8/21/2013 11:38:43 AM	8/21/2013 4:38:43 PM	0.744	6.702	7.446	2.319	35.424
8/21/2013 11:38:53 AM	8/21/2013 4:38:53 PM	0.690	6.612	7.302	2.236	35.937
8/21/2013 11:39:03 AM	8/21/2013 4:39:03 PM	0.641	6.419	7.060	2.165	35.830
8/21/2013 11:39:13 AM	8/21/2013 4:39:13 PM	0.594	6.232	6.826	2.087	36.586
8/21/2013 11:39:23 AM	8/21/2013 4:39:23 PM	0.539	5.950	6.489	1.977	36.213
8/21/2013 11:39:33 AM	8/21/2013 4:39:33 PM	0.492	5.835	6.327	1.948	35.301
8/21/2013 11:39:43 AM	8/21/2013 4:39:43 PM	0.423	5.728	6.151	1.855	34.791
8/21/2013 11:39:53 AM	8/21/2013 4:39:53 PM	0.432	5.709	6.142	1.765	34.621
8/21/2013 11:40:03 AM	8/21/2013 4:40:03 PM	0.427	5.767	6.194	1.681	34.809
8/21/2013 11:40:13 AM	8/21/2013 4:40:13 PM	0.501	5.746	6.247	1.558	35.301
8/21/2013 11:40:23 AM	8/21/2013 4:40:23 PM	0.583	5.793	6.376	1.530	35.025
