Name 	Notes
David	OH Exposure 
Time Stamp Local	Time Stamp UTC	TC 1 (C)	TC 2 (C)	TC 3 (C)	TC 4 (C)	TC 5 (C)	TC 6 (C)	TC 7 (C)	RHT T1 (C)	RHT T2 (C)	RH 1 (C)	RH 2 (C)	N2 (% RH)	O2 (% RH)	NOx (LPM)	VOC (LPM)	Humidifier (LPM)	PAM Downstream (LPM)	Pressure (Psia)
8/20/2013 11:20:38 AM	8/20/2013 4:20:38 PM	22.708	23.354	23.413	1372.000	1372.000	1372.000	1372.000	28.953	28.272	52.392	60.949	-0.008	0.400	0.000	0.000	22.969	22.642	0.000
8/20/2013 11:20:41 AM	8/20/2013 4:20:41 PM	22.708	23.354	23.472	1372.000	1372.000	1372.000	1372.000	28.966	28.275	52.412	60.939	-0.007	0.399	0.000	0.000	23.296	22.806	0.000
8/20/2013 11:20:43 AM	8/20/2013 4:20:43 PM	22.649	23.354	23.472	1372.000	1372.000	1372.000	1372.000	28.969	28.279	52.422	60.926	-0.007	0.400	0.000	0.000	22.479	22.969	0.000
8/20/2013 11:20:45 AM	8/20/2013 4:20:45 PM	22.649	23.296	23.413	1372.000	1372.000	1372.000	1372.000	28.943	28.282	52.458	60.932	-0.007	0.399	0.000	0.000	22.806	22.806	0.000
8/20/2013 11:20:47 AM	8/20/2013 4:20:47 PM	22.649	23.354	23.472	1372.000	1372.000	1372.000	1372.000	28.963	28.325	52.415	60.965	-0.006	0.399	0.000	0.000	23.132	22.642	0.000
8/20/2013 11:20:49 AM	8/20/2013 4:20:49 PM	22.649	23.354	23.472	1372.000	1372.000	1372.000	1372.000	28.930	28.308	52.408	60.916	-0.007	0.400	0.000	0.000	22.642	22.152	0.000
8/20/2013 11:20:51 AM	8/20/2013 4:20:51 PM	22.590	23.296	23.413	1372.000	1372.000	1372.000	1372.000	28.956	28.308	52.399	60.922	-0.007	0.398	0.000	0.000	23.459	22.315	0.000
8/20/2013 11:20:53 AM	8/20/2013 4:20:53 PM	22.590	23.119	23.413	1372.000	1372.000	1372.000	1372.000	28.956	28.318	52.402	60.909	-0.007	0.399	0.000	0.000	22.479	23.296	0.000
8/20/2013 11:20:55 AM	8/20/2013 4:20:55 PM	22.590	23.119	23.354	1372.000	1372.000	1372.000	1372.000	28.956	28.331	52.428	60.916	-0.008	0.398	0.000	0.000	22.969	22.479	0.000
8/20/2013 11:20:57 AM	8/20/2013 4:20:57 PM	22.531	23.060	23.296	1372.000	1372.000	1372.000	1372.000	28.976	28.335	52.461	60.945	-0.007	0.399	0.000	0.000	22.806	22.479	0.000
8/20/2013 11:21:00 AM	8/20/2013 4:21:00 PM	22.531	22.943	23.237	1372.000	1372.000	1372.000	1372.000	28.976	28.341	52.441	60.942	-0.007	0.399	0.000	0.000	22.806	22.152	0.000
8/20/2013 11:21:02 AM	8/20/2013 4:21:02 PM	22.531	22.884	23.237	1372.000	1372.000	1372.000	1372.000	28.976	28.344	52.454	60.893	-0.007	0.398	0.000	0.000	23.132	22.806	0.000
8/20/2013 11:21:04 AM	8/20/2013 4:21:04 PM	22.531	22.825	23.237	1372.000	1372.000	1372.000	1372.000	28.973	28.361	52.458	60.926	-0.007	0.399	0.000	0.000	23.132	22.642	0.000
8/20/2013 11:21:06 AM	8/20/2013 4:21:06 PM	22.414	22.649	23.237	1372.000	1372.000	1372.000	1372.000	28.982	28.341	52.474	60.873	-0.008	0.399	0.000	0.000	22.806	22.479	0.000
